Building,Norlin,Humanity,Fleming,UMC,Recreation Center,Math,Business,Law,Fisk,

Norlin Library,0,2000,-1,5000,-1,-1,4000,300,-1,-1,

Humanity,-1,-1,0,-1,2500,5500,2500,-1,-1,-1,

Fleming,2000,0,-1,-1,-1,1400,-1,-1,-1,3000,

UMC,-1,-1,0,-1,3000,6000,3000,-1,-1,-1,

Recreation Center,5000,-1,-1,0,-1,-1,-1,5110,6000,2500,

Math,-1,-1,3000,-1,0,-1,300,4000,-1,-1,

Engineering,-1,2000,6000,-1,-1,0,5000,-1,-1,-1,

Business,-1,2100,5500,-1,-1,0,4500,-1,-1,-1,

Law,244,-1,-1,5110,3507,-1,3405,0,-1,-1,

Fisk,400,-1,-1,5000,4000,-1,3500,0,-1,-1,
